Project Name,Sector,Sub-Sector,Location,Status,Type of PPP,Project Brief,Project Capacity,Nodal Authority,Concession Duration (In Months),Update Date,Project Authority Name,Project Concessionaire Name,Bid Parameter,Concession Agreement Signing Date,Financial Closure Date,Appointed Date,Construction Completion Date(As per agreement),Construction Completion Date(Actual),Date of Start Of Commercial Operation (As per agreement),Date of Start Of Commercial Operation (As actual),Concession End Date(As per agreement),Concession End Date(Actual),Revised Concession End Date,Type of Grant,Grant Amount in Rs Crore,Project Cost(As per agreement) in Rs Crore,Project Cost(Revised) in Rs Crore,Project Cost(Actual) in Rs Crore,Any Other Information
Implementation of solid waste management unit in Muzaffarnagar district,Water Sanitation,Solid waste management,Uttar Pradesh,Operation and Maintenance Stage,Build-Own-Operate-Transfer (BOOT),The project involved implementation of solid waste management unit in Muzaffarnagar district. The scope of work includes door to door collection processing disposal.,120.0 TPD (Tonne per day),State,360,18-Dec-2016,Uttar Pradesh Jal Nigam,A2Z Green Waste Management Limited,Tariff or User charge,16-Jun-2009,Not Available,Not Available,15-Oct-2011,31-Oct-2011,15-Oct-2011,31-Oct-2011,15-Jun-2039,Not Applicable,Not Available,Construction Grant,6.58,Not Available,Not Available,Not Available,Not Available
Construction of two lane Wainganga bridge in length of 13 Km,Transport,Roads and bridges,Maharashtra,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved construction of two lane Wainganga bridge on NH-6 in Maharashtra.,13.0 KM (Kilometer),Centre,225,20-Dec-2016,Ministry of Road Transport and Highways,Abhijeet Ashoka Infrastructure Limited,Not Available,16-Nov-1998,Not Available,Not Available,30-Apr-2001,30-Apr-2001,30-Apr-2001,30-Apr-2001,15-Jul-2017,Not Applicable,15-Feb-2018,,0.00,41.00,Not Available,41.00,Not Available
Dispensary Site at Maddilapalem,Social and Commercial Infrastructure,Health Care,Andhra Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),"Development of vacant site at Dispensary and construction of Multi Complex (Sub Cellar + Cellar + G + 4 Floors), Maddilapalem, Visakhapatnam.",Not Available,State,390,20-Dec-2016,Andhra Pradesh State Road Transport Corporation,M/s. Chandana Brothers Multi Complex Pvt Ltd,Revenue Share,21-Jun-2006,20-Oct-2006,Not Available,20-Oct-2008,02-Jan-2010,20-Oct-2008,02-Jan-2010,Not Available,Not Applicable,Not Available,,0.00,12.30,Not Available,26.77,Not Available
Road Upgradation (Maliya-Pipaliya Junction) Project,Transport,Roads and bridges,Gujarat,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),The project involved two laning with paved shoulder from Maliya-Pipaliya junction road in length of 24.0 km and Morbi bypass-Navalakhi road in length of 41.0 km.,65.0 KM (Kilometer),State,240,20-Dec-2016,"Roads and Buildings Department, Gujarat",Backbone Enterprises Limited,Not Available,01-Apr-2011,Not Available,31-May-2011,31-Jul-2013,31-Mar-2015,31-Jul-2013,31-Mar-2015,31-Mar-2031,Not Applicable,Not Available,,0.00,108.00,Not Available,108.00,Not Available
Hotel Management Institute (Badhkal),Social and Commercial Infrastructure,Education,Haryana,Operation and Maintenance Stage,Lease,The project involved construction of hotel management institute at Badhkal in Haryana.,Not Available,State,396,11-Jan-2017,Haryana Tourism Corporation Limited,Lalit Suri Hospitality School,Lease Rent,Not Available,Not Available,30-Sep-2009,31-Dec-2012,31-Dec-2013,31-Dec-2012,31-Dec-2013,Not Available,Not Applicable,Not Available,,0.00,40.00,Not Available,40.00,Not Available
Operation & maintenance of NH-1A,Transport,Roads and bridges,Multi State/ Centre,Operation and Maintenance Stage,Management Contract (O&M),"The project involved operation & maintenance of four lane section of NH-1A starting from Km.4.23 (Jalandhar) to Km.117.750/4.00, Km.4.00 to Km.97.200/0.00 and Km.0.00 to Km.15.00, end of Jammu bypass.",222.0 KM (Kilometer),Centre,108,11-Jan-2017,National Highways Authority of India (NHAI),Dineshchandra R Agrawal Infracon Private Limited,Not Available,30-Sep-2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,29-Sep-2024,,0.00,120.00,Not Available,Not Available,Not Available
Water Sports & FEC at Rajahmundry,Social and Commercial Infrastructure,Tourism,Andhra Pradesh,Operation and Maintenance Stage,Lease,"Water Sports & FEC at Rajahmundry [20 cottages, Bar & Restaurant -75 seater, sailing club & water sports]",Not Available,State,396,11-Jan-2017,Andhra Pradesh Tourism Development Corporation Limited,M/s Rajahmahendri Resorts Pvt. Ltd,Lease Rent,30-Apr-2004,Not Available,Not Available,29-Dec-2005,30-Dec-2005,29-Dec-2005,30-Dec-2005,Not Available,Not Applicable,Not Available,,0.00,12.00,Not Available,Not Available,Not Available
Construction of major bridge in length of 2.2 km across Pinglai river on Nagpur-Edlabad road of NH-6,Transport,Roads and bridges,Maharashtra,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved construction of major bridge across Pinglai river from 112.0 km to 114.2 km on Nagpur-Edlabad road of NH-6.,2.2 KM (Kilometer),State,153,09-Feb-2017,Nagpur Improvement Trust,"VHCPL-ADCC (JV), Pinglai",Concession Duration,14-May-2004,Not Available,Not Available,Not Available,22-Jul-2005,Not Available,22-Jul-2005,22-Feb-2017,Not Applicable,Not Available,,0.00,14.15,Not Available,14.15,Not Available
Solid Waste Management (Chennai),Water Sanitation,Solid waste management,Tamil Nadu,Operation and Maintenance Stage,Not Available,Solid Waste Management in Chennai,Not Available,State,Not Available,20-Feb-2017,Greater Chennai Corporation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,,0.00,Not Available,Not Available,36.48,Not Available
Two laning of Raigarh-Pathalgaon road in length of 110.2 km in Raigarh,Transport,Roads and bridges,Chhattisgarh,Under Construction,Build-Operate-Transfer (BOT),The project involves two laning of Raigarh-Pathalgaon road in Raigarh district.,110.2 KM (Kilometer),State,156,20-Feb-2017,Chhattisgarh Road Development Corporation,Raigarh Pathalgaon Expressway Limited,Revenue Share,20-Oct-2016,Not Available,Not Available,30-Mar-2019,Not Applicable,30-Mar-2019,Not Applicable,19-Oct-2029,Not Applicable,Not Available,,0.00,601.00,Not Available,Not Applicable,Not Available
Bus Terminal (Angamaly) Project,Transport,Urban public transport (except rolling stock),Kerala,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),"The project involved construction of Bus Terminal project at Angamaly. Total Build up area of the project - 18450.17m, Commercial area - 16404.17m. The project is spread over 2 acres of land",Not Available,State,Not Available,26-Feb-2017,Kerala Transport Development Finance Corporation Limited,K. V. Joseph & Sons Pvt. Ltd.,Revenue Share,Not Available,Not Available,19-Sep-2008,19-Jun-2010,30-Jun-2012,Not Available,17-Aug-2012,Not Available,Not Applicable,Not Available,,0.00,29.04,33.42,33.42,Not Available
East Coast Road between Chennai and Puducherry,Transport,Roads and bridges,Tamil Nadu,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),"The East coast road between Chennai & Puducherry has several features relating to safety, including reflective road studs along the entire stretch providing illuminated guidance to road users during nights, traffic guide posts and reflective delineators at regular intervals.",113.0 KM (Kilometer),State,372,26-Feb-2017,"Highway Department, Government of Tamil Nadu",Tamil Nadu Road Development Company Limited,Not Available,01-Dec-2000,Not Available,01-Feb-2001,01-Dec-2001,01-Mar-2002,01-Dec-2001,01-Mar-2002,30-Nov-2031,Not Applicable,Not Available,,0.00,61.00,Not Available,Not Available,Not Available
Sanitary Landfills in Bangalore,Water Sanitation,Solid waste management,Karnataka,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,Sanitary Landfills in Bangalore,Not Available,State,180,07-Mar-2017,Bruhat Bengaluru Mahanagara Palike,Ramky Enviro Engineers Limited,Not Available,06-May-2004,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,05-May-2019,Not Applicable,Not Available,,0.00,30.00,Not Available,Not Available,Not Available
Operation & maintenance of bus terminal with a capcity of 25000 Passengers in Hoshiarpur,Transport,Urban public transport (except rolling stock),Punjab,Operation and Maintenance Stage,Management Contract (O&M),The project involved operation and maintenance of bus terminal in Hoshiarpur district.,25000.0 Passengers,State,60,13-Mar-2017,Punjab State Bus Stand Management Company Limited,Guru Teg Bahadur Charitable Health & Education Awareness Society,Not Available,06-Jul-2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,05-Jul-2020,Not Applicable,Not Available,,0.00,7.88,Not Available,Not Available,Not Available
"Operation & maintenance of bus terminals capacity of 30500 Passengers at Jagraon, Anandpur Sahib & S.A.S Nagar",Transport,Urban public transport (except rolling stock),Punjab,Operation and Maintenance Stage,Management Contract (O&M),"The project involved operation and maintenance of bus terminals at Jagraon in Ludhiana, Anandpur Sahib in Rupnagar and  S.A.S Nagar in Mohali district.",30500.0 Passengers,State,60,13-Mar-2017,Punjab State Bus Stand Management Company Limited,Prem Kumar Maini,Not Available,11-Mar-2014,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10-Mar-2019,Not Applicable,Not Available,,0.00,5.07,Not Available,Not Available,Not Available
Construction of railway over bridge on NH-6 at Fekari in Jalgaon district,Transport,Roads and bridges,Maharashtra,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved construction of railway over bridge on NH-6 at Fekari in Jalgaon district.,2.7 KM (Kilometer),Centre,180,14-Mar-2017,Ministry of Road Transport and Highways,Fekari Infrastructure Private Limited,Not Available,30-Sep-2008,Not Available,Not Available,Not Available,30-Jun-2009,Not Available,09-Jul-2009,29-Sep-2023,Not Applicable,29-Sep-2028,,0.00,15.00,Not Available,15.00,Not Available
Development of school on 1.9 acres at Mouza Waddhamna in Nagpur district,Social and Commercial Infrastructure,Education,Maharashtra,Operation and Maintenance Stage,Design-Build-Own-Operate-Transfer (DBOOT),The project involved development of primary & secondary school at Mouza Waddhamna in Nagpur district.,1.9 Acres,State,360,19-Mar-2017,Nagpur Municipal Corporation,Somalwar Academy Education Society Nagpur,Not Available,23-Oct-2012,Not Available,Not Available,23-Oct-2015,31-May-2016,23-Oct-2015,31-May-2016,22-Oct-2042,Not Applicable,Not Available,,0.00,8.63,Not Available,8.63,Not Available
Four lanning of Hadgaon-Waranga-Nanded road in length of 51.9 Km,Transport,Roads and bridges,Maharashtra,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involves four laning Hadgaon-Waranga-Nanded Road from 265.60 km to 317.50 km of MSH-3 (NH-361) in Nanded and Hingoli district.,51.9 KM (Kilometer),State,246,20-Mar-2017,"Public Works Department, Maharashtra",Kalyan Infratech Private Limited,Not Available,09-Mar-2005,Not Available,11-Nov-2005,31-Oct-2007,05-Aug-2008,31-Oct-2007,05-Aug-2008,08-Aug-2025,Not Applicable,Not Available,,0.00,10.24,Not Available,11.50,"Source :- Engineer, Public Works Department, Maharashtra"
Implementation of municipal solid waste treatment plant at Bardez in North Goa,Water Sanitation,Solid waste management,Goa,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),The  project involved implementation of municipal solid waste treatment facilities at Bardez in North Goa .,100.0 Tonnes,State,120,20-Mar-2017,Goa State Infrastructure Development Corporation Limited,Hindustan Waste Treatment Private Limited,Minimum grant,10-Feb-2014,Not Available,25-Nov-2014,21-May-2016,31-May-2016,21-May-2016,31-May-2016,09-Feb-2024,Not Applicable,Not Available,Operation Grant,70.00,146.85,Not Available,148.85,Not Available
Implementation of waste management facilities at Haldia in Purba Medinipur,Water Sanitation,Solid waste management,West Bengal,Operation and Maintenance Stage,Build-Own-Operate-Transfer (BOOT),"The project involved providing solid waste management facilities at Haldia in Purba Medinipur[Landfill facility - 1,20,000 MT/Year, Stabilisation Facility- 40 MT/Year, Incinerator Capacity - 10000 MT/Year]",200000.0 MTPA (Metric Tonne Per Annum),State,360,20-Mar-2017,Haldia Development Authority,West Bengal Waste Management Ltd.,Not Available,29-Apr-2003,Not Available,Not Available,28-Jan-2005,05-May-2006,28-Jan-2005,05-May-2006,28-Apr-2033,Not Applicable,Not Available,Project Development Grant,11.00,54.00,Not Available,54.00,Not Available
Integrated Solid Waste Management  Guwahati,Water Sanitation,Solid waste management,Assam,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),"Building a 150 tpd capacity solid waste management plant in Guwahati, Assam",150.0 TPD (Tonne per day),State,240,24-Mar-2017,Guwahati Municipal Corporation,Ramky Enviro Engineers Limited,Tariff or User charge,29-Oct-2008,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,28-Oct-2028,Not Applicable,Not Available,,0.00,102.15,Not Available,102.15,Not Available
Sechi Hydro Electric Power Project,Energy,Renewable energy (grid),Himachal Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involved setting up of 4.50 MW (2x2.25 MW) Sechi hydro electric power plant at Sechi Khad in Kullu district of Himachal Pradesh.,4.5 MW (Mega Watt),State,Not Available,24-Mar-2017,Himachal Pradesh Energy Development Agency,Ascent Hydro Projects Limited,Revenue Share,18-May-2007,Not Available,16-Oct-2007,30-Jun-2012,30-Jun-2012,Not Available,Not Available,Not Available,Not Applicable,Not Available,,0.00,23.74,Not Available,33.46,Not Available
Road Upgradation (Kotputli-Kuchaman) Project,Transport,Roads and bridges,Rajasthan,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),"Kotputli to Kuchaman and Daulatpura via Neem ka thana, Sikar, Losal Road",193.22 KM (Kilometer),State,Not Available,23-Apr-2017,Rajasthan State Road Development and Construction Corporation Limited,H G Infra Engineering Private Limited,Annuity,Not Available,Not Available,Not Available,Not Available,31-Mar-2015,Not Available,06-Jul-2015,Not Available,Not Applicable,Not Available,,0.00,285.36,Not Available,Not Available,Not Available
Implementation of 100 TPD solid waste management facility unit at Calangute,Water Sanitation,Solid waste management,Goa,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT),"The project involved implementation of solid waste management facility at Calangute, Saligao in North Goa.",100.0 TPD (Tonne per day),State,120,01-May-2017,Goa State Infrastructure Development Corporation Limited,Hindustan Waste Treatment Private Limited,Minimum grant,14-Aug-2014,Not Available,21-Nov-2014,20-May-2016,21-Aug-2016,20-May-2016,21-Aug-2016,13-Aug-2024,Not Applicable,Not Available,,0.00,145.95,Not Available,145.95,Not Available
Development of railway over bridge in length of 1.5 km at Palanpur-Radhanpur- Samakhyali,Transport,Roads and bridges,Gujarat,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Annuity,The project involved development of railway over bridge on Palanpur-Radhanpur- Samakhyali section in Gujarat .,1.5 KM (Kilometer),State,180,15-May-2017,"Roads and Buildings Department, Gujarat",Patel Infrastructure Private Limited-Ajay Engineering (JV),Annuity,23-Aug-2011,12-Mar-2012,12-Mar-2012,Not Available,25-Apr-2014,Not Available,25-Apr-2014,22-Aug-2026,Not Applicable,Not Available,,0.00,109.59,Not Available,109.59,Not Available
